         832495 function calls (832400 primitive calls) in 133.758 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
        1    0.000    0.000    0.000    0.000 threading.py:302(notify_all)
       10    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
       43    0.000    0.000    0.000    0.000 {built-in method ord}
       32    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ennemis.py:13(Ennemi_IG)
        1    0.000    0.000    0.000    0.000 TourClasse.py:30(Tours_IG)
       16    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 sre_parse.py:136(__setitem__)
        1    0.000    0.000    0.000    0.000 threading.py:284(notify)
        4    0.000    0.000    0.000    0.000 {built-in method proxy}
        5    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 threading.py:439(Barrier)
        3    0.000    0.000    0.000    0.000 os.py:513(check_str)
        1    0.000    0.000    0.000    0.000 sprite.py:221(DirtySprite)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 {built-in method exp}
        6    0.000    0.000    0.000    0.000 {built-in method exc_info}
        1    0.000    0.000    0.000    0.000 {built-in method set_volume}
       15    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 invocation.py:10(Invocation)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method stop}
        1    0.000    0.000    0.000    0.000 sprite.py:613(LayeredUpdates)
        1    0.000    0.000    0.000    0.000 sprite.py:284(AbstractGroup)
        1    0.000    0.000    0.000    0.000 sprite.py:106(Sprite)
        1    0.000    0.000    0.000    0.000 {built-in method unpack}
        1    0.000    0.000    0.000    0.000 weakref.py:200(update)
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 queue.py:21(Queue)
        2    0.000    0.000    0.000    0.000 {built-in method getwindowsversion}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        7    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 cursors.py:32(<module>)
        1    0.000    0.000    0.000    0.000 Perso.py:6(Perso)
        1    0.000    0.000    0.000    0.000 {built-in method _getfullpathname}
        1    0.000    0.000    0.000    0.000 TourClasse.py:8(Tours)
        1    0.000    0.000    0.000    0.000 threading.py:719(_set_ident)
        1    0.000    0.000    0.000    0.000 functools.py:54(wraps)
        7    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        7    0.000    0.000    0.000    0.000 _abcoll.py:118(__subclasshook__)
        1    0.000    0.000    0.000    0.000 threading.py:175(_Condition)
        1    0.000    0.000    0.000    0.000 sprite.py:943(LayeredDirty)
        3    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 threading.py:45(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:217(_is_owned)
        1    0.000    0.000    0.000    0.000 queue.py:229(PriorityQueue)
        1    0.000    0.000    0.000    0.000 classes.py:59(Niveau)
        1    0.000    0.000    0.000    0.000 __init__.py:46(MissingModule)
        2    0.000    0.000    0.000    0.000 {built-in method hasattr}
        1    0.000    0.000    0.000    0.000 {built-in method unhexlify}
        1    0.000    0.000    0.000    0.000 __init__.py:152(WorkerQueue)
        2    0.000    0.000    0.000    0.000 {built-in method log}
        1    0.000    0.000    0.000    0.000 classes.py:178(Screen)
        1    0.000    0.000    0.000    0.000 decoder.py:267(JSONDecoder)
        1    0.000    0.000    0.000    0.000 functools.py:119(lru_cache)
        1    0.000    0.000    0.000    0.000 encoder.py:67(JSONEncoder)
        1    0.000    0.000    0.000    0.000 random.py:623(SystemRandom)
        1    0.000    0.000    0.000    0.000 encoder.py:98(__init__)
       11    0.000    0.000    0.000    0.000 _compat_pickle.py:81(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method setattr}
        1    0.000    0.000    0.000    0.000 TourClasse.py:133(Projectile)
        1    0.000    0.000    0.000    0.000 threading.py:95(_RLock)
        2    0.000    0.000    0.000    0.000 ntpath.py:74(_get_special)
        1    0.000    0.000    0.000    0.000 warnings.py:289(catch_warnings)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_md5}
        1    0.000    0.000    0.000    0.000 threading.py:43(_Verbose)
        1    0.000    0.000    0.000    0.000 sprite.py:586(OrderedUpdates)
        1    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 threading.py:311(_Semaphore)
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.000    0.000    0.000    0.000 util.py:170(Finalize)
        6    0.000    0.000    0.000    0.000 {built-in method globals}
        2    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 queue.py:248(LifoQueue)
        1    0.000    0.000    0.000    0.000 version.py:28(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:88(_processoptions)
        1    0.000    0.000    0.000    0.000 threading.py:992(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:923(_Timer)
        4    0.000    0.000    0.000    0.000 {built-in method callable}
        1    0.000    0.000    0.000    0.000 queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 warnings.py:269(WarningMessage)
        1    0.000    0.000    0.000    0.000 classes.py:37(GoldAnim)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha512}
        1    0.000    0.000    0.000    0.000 {built-in method set_repeat}
        1    0.000    0.000    0.000    0.000 threading.py:369(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 sprite.py:1292(collide_rect_ratio)
        1    0.000    0.000    0.000    0.000 pickle.py:79(UnpicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:92(_Stop)
        1    0.000    0.000    0.000    0.000 {built-in method init}
        1    0.000    0.000    0.000    0.000 sprite.py:531(Group)
        1    0.000    0.000    0.000    0.000 classes.py:27(Levels)
        1    0.000    0.000    0.000    0.000 sprite.py:557(RenderUpdates)
        1    0.000    0.000    0.000    0.000 warnings.py:83(_OptionError)
        1    0.000    0.000    0.000    0.000 pickle.py:68(PickleError)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha1}
        1    0.000    0.000    0.000    0.000 __init__.py:210(FuncResult)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha384}
        1    0.000    0.000    0.000    0.000 util.py:337(ForkAwareLocal)
        1    0.000    0.000    0.000    0.000 pkgdata.py:29(resource_exists)
        1    0.000    0.000    0.000    0.000 process.py:309(_MainProcess)
        1    0.000    0.000    0.000    0.000 __init__.py:74(BufferTooShort)
        1    0.000    0.000    0.000    0.000 {built-in method register}
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method get_ident}
        1    0.000    0.000    0.000    0.000 threading.py:50(_note)
        1    0.000    0.000    0.000    0.000 __init__.py:71(ProcessError)
        1    0.000    0.000    0.000    0.000 pickle.py:72(PicklingError)
        1    0.000    0.000    0.000    0.000 {built-in method Info}
        1    0.000    0.000    0.000    0.000 __init__.py:77(TimeoutError)
        1    0.000    0.000    0.000    0.000 queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 sprite.py:1372(collide_circle_ratio)
        1    0.000    0.000    0.000    0.000 process.py:295(AuthenticationString)
        1    0.000    0.000    0.000    0.000 util.py:330(ForkAwareThreadLock)
        1    0.000    0.000    0.000    0.000 threading.py:952(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:595(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:80(AuthenticationError)
        1    0.000    0.000    0.000    0.000 threading.py:961(_set_daemon)
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}


